Name,food counter,catergory,"Median kg CO2eq / kg produce, Litre of Bone free meat",what 1 kg of carbon dioxide equivilent emmisions buys you in produce (kg),Mean kg CO2eq per kg produce,Stdev,Deviation from mean,Min kg CO2eq per kg produce,Max kg CO2eq per kg produce,Q1 kg CO2eq per kg produce,Q3 kg CO2eq per kg produce,No. of LCA studies,No. of GWP values
Onion,vegetables,bulbs,"0,17","5,882","0,18","0,11",60%,"0,06","0,37","0,1","0,21",7,9
Celery,vegetables,stems of leaves,"0,18","5,556",,,,,,,,1,1
Potatoes,vegetables,tubers,"0,18","5,556","0,2","0,08",41%,"0,08","0,36","0,16","0,26",16,25
Carrots,vegetables,roots,"0,2",5,"0,22","0,15",65%,"0,04","0,5","0,11","0,31",10,13
Zucchini/button squash,fruit,pepo,"0,21","4,762","0,42","0,5",121%,"0,09","1,17","0,16","0,46",3,4
Cucumber/gherkins,fruit,pepo,"0,23","4,348","0,33","0,32",96%,"0,13","1,3","0,19","0,31",7,15
Beetroot,vegetables,roots,"0,24","4,167","0,23","0,11",50%,"0,11","1,61","0,18","0,29",2,3
Pumpkins,fruit,pepo,"0,25",4,"0,33","0,25",74%,"0,15","0,73","0,16","0,37",4,8
Rockmelon/cantelope,fruit,pepo,"0,25",4,,,,,,,,1,1
Lemons and limes,fruit,Hesperidium,"0,26","3,846","0,3","0,06",19%,"0,18","0,45","0,22","0,35",2,3
Beans: plake,staples,legume,"0,26","3,846","0,3","0,12",38%,"0,22","0,43","0,24","0,35",1,3
Mushrooms,vegetables,fungai,"0,27","3,704","0,27","0,29",110%,"0,06","0,48","0,16","0,37",3,2
Guavas,fruit,true berry,"0,28","3,571",,,,,,,,1,1
Apples,fruit,pome,"0,29","3,448","0,36","0,19",53%,"0,18","0,89","0,21","0,47",21,33
Swedes/rutabage,vegetables,roots,"0,29","3,448",,,,,,,,1,1
Beans: green,staples,legume,"0,31","3,226","0,51","0,47",93%,"0,24","1,55","0,26","0,46",4,7
Pears,fruit,pome,"0,31","3,226","0,33","0,13",41%,"0,19","0,63","0,27","0,33",4,8
Quinces,fruit,pome,"0,31","3,226","0,31","0,01",5%,"0,3","0,32","0,31","0,32",2,2
Dates,fruit,drupe,"0,32","3,125",,,,,,,,1,1
Watermelons,fruit,pepo,"0,32","3,125","0,32","0,09",29%,"0,25","0,38","0,28","0,35",2,2
Orange,fruit,Hesperidium,"0,33","3,03","0,35","0,12",34%,"0,18","0,59","0,25","0,45",9,20
Cauliflowers and broccoli,vegetables,brassica,"0,36","2,778","0,35","0,06",17%,"0,28","0,42","0,32","0,39",4,4
Kiwi fruit,fruit,true berry,"0,36","2,778","0,47","0,26",55%,"0,15","0,88","0,29","0,68",5,9
Grapes,fruit,true berry,"0,37","2,703","0,41","0,25",60%,"0,15","0,88","0,31","0,41",5,6
Oats,staples,cereal,"0,38","2,632","0,44","0,12",26%,"0,38","0,67","0,38","0,45",4,6
Rye,staples,cereal,"0,38","2,632","0,41","0,07",17%,"0,36","0,49","0,37","0,44",2,3
Peas,staples,legume,"0,38","2,632","0,6","0,77",128%,"0,15","2,46","0,21","0,5",6,8
Cherries,fruit,drupe,"0,39","2,564","0,48","0,4",83%,"0,26","0,88","0,31","0,56",2,4
Beans: gigante/butter,staples,legume,"0,39","2,564","0,36","0,09",25%,"0,26","0,43","0,32","0,41",1,3
Almond/coconut milk,dairy fridge,milk,"0,42","2,381","0,42","0,03",8%,"0,39","0,44","0,39","0,44",1,4
Barley,staples,cereal,"0,43","2,326","0,49","0,24",49%,"0,11","0,98","0,34","0,6",7,13
Apricot,fruit,drupe,"0,43","2,326",,,,,,,,1,1
Peaches and Nectarines,fruit,drupe,"0,43","2,326","0,54","0,24",44%,"0,38","0,81","0,41","0,62",3,3
Beans,staples,legume,"0,43","2,326","0,62","0,45",73%,"0,22","1,55","0,26","0,72",11,22
Figs,fruit,multiple fruit,"0,43","2,326",,,,,,,,1,1
Chestnuts,staples,tree nuts,"0,43","2,326",,,,,,,,1,1
Mandarin,fruit,Hesperidium,"0,45","2,222",,,,,,,,1,1
Tomatoes,fruit,true berry,"0,45","2,222","0,46","0,18",39%,"0,08",1,"0,35","0,55",19,56
Maize/corn,staples,cereal,"0,47","2,128","0,63","0,38",60%,"0,4","1,38","0,42","0,61",6,6
Fennel,vegetables,stems of leaves,"0,48","2,083",,,,,,,,1,1
Artichokes,vegetables,tubers,"0,48","2,083",,,,,,,,1,1
Cowpeas,staples,legume,"0,49","2,041","0,48","0,13",28%,"0,33","0,61","0,4","0,57",1,4
Soybean,staples,legumes,"0,49","2,041","0,58","0,04",6%,"0,38","0,96","0,44","0,62",2,4
Pineapples,fruit,multiple fruit,"0,5",2,"0,72","0,53",74%,"0,4","1,78","0,45","0,64",5,6
Grapefruit and pomelo,fruit,Hesperidium,"0,51","1,961",,,,,,,,2,1
Tangerines/mandarins,fruit,Hesperidium,"0,51","1,961",,,,,,,,1,1
Melons,fruit,pepo,"0,51","1,961","0,88","0,01",2%,"0,3","1,74","0,32","1,55",4,5
Tomatoes: passive greenhouse,greenhouse,true berry,"0,51","1,961","0,67","0,34",51%,"0,32","1,28","0,44","0,86",5,8
Wheat,staples,flour,"0,52","1,923","0,51","0,17",33%,"0,18","1,1","0,4","0,6",20,51
Spinach,vegetables,leaves,"0,54","1,852","0,54","0,51",95%,"0,18","0,91","0,36","0,73",2,2
Garlic,vegetables,bulbs,"0,57","1,754",,,,,,,,1,1
Strawberries,fruit,aggregate fruit,"0,58","1,724","0,65","0,36",55%,"0,2","1,5","0,37","0,84",15,21
Broccoli,vegetables,brassica,"0,6","1,667","0,7","0,34",48%,"0,37","1,73","0,49","0,7",6,17
Olives,fruit,drupe,"0,63","1,587","0,56","0,22",38%,"0,22","0,85","0,52","0,66",4,8
Capsicums/peppers,fruit,true berry,"0,66","1,515","0,6","0,27",44%,"0,23","0,87","0,55","0,71",3,4
Bananas,fruit,musa,"0,72","1,389","0,79","0,3",38%,"0,42","1,37","0,48","1,04",10,17
Beans: pinto USA dried,staples,legume,"0,73","1,37",,,,,,,,1,1
Beans: french and runner,staples,legume,"0,75","1,333","0,85","0,37",44%,"0,52","1,37","0,63","0,97",1,4
Soy-milk,dairy fridge,milk,"0,75","1,333","0,88","0,27",31%,"0,66","1,4","0,7","0,98",2,8
Chick peas,staples,legume,"0,77","1,299","0,67","0,19",29%,"0,45","0,8","0,61","0,79",2,3
Peanuts,staples,legume,"0,83","1,205","0,87","0,11",13%,"0,8","1,1","0,81","0,87",3,6
Asparagus,vegetables,stem shoots,"0,83","1,205","0,92","0,49",53%,"0,18","2,54","0,6","1,05",5,28
Raspberries,fruit,aggregate fruit,"0,84","1,19",,,,,,,,2,1
Currants and gooseberries,fruit,true berry,"0,84","1,19",,,,,,,,1,1
Sesame seed,staples,seeds,"0,88","1,136",,,,,,,,1,1
Ginger,vegetables,stem,"0,88","1,136",,,,,,,,1,1
Cranberries/blueberries,fruit,true berry,"0,92","1,087","0,92","0,07",8%,"0,86","0,97","0,89","0,94",2,2
Hazelnuts,staples,tree nuts,"0,97","1,031","0,97","0,76",78%,"0,43","1,5","0,7","1,23",2,2
Ground nuts,staples,tree nuts,"0,99","1,01","0,99","0,48",49%,"0,65","1,33","0,82","1,16",2,2
Lentils,staples,legume,"1,03","0,971","1,03","0,04",4%,1,"1,06","1,02","1,05",2,2
Pilchard,meat,fish counter,"1,1","0,909","1,1","0,45",41%,"0,78","1,41","0,94","1,26",2,2
Peppers: passive and heated greenhouse,greenhouse,,"1,1","0,909","1,08","0,17",16%,"0,9","1,25",1,"1,17",2,3
Milk: AU & NZ,dairy fridge,milk,"1,14","0,877","1,19","0,15",13%,"0,94","1,4","1,11","1,32",10,10
Quinoa,staples,cereal,"1,15","0,87","1,15","0,07",6%,"1,1","1,2","1,13","1,18",2,2
Herring,meat,fish counter,"1,16","0,862","1,17","0,17",15%,"0,98","1,39","1,09","1,25",3,4
Milk: Nth America,dairy fridge,milk,"1,16","0,862","1,34","0,4",30%,"0,94","2,06","1,05","1,55",11,19
Milk: British Isles,dairy fridge,milk,"1,23","0,813","1,26","0,23",19%,"0,88","1,99","1,12","1,3",16,35
Milk: World average,dairy fridge,milk,"1,29","0,775","1,39","0,58",41%,"0,54","7,5","1,14","1,5",77,262
Milk: Europe,dairy fridge,milk,"1,3","0,769","1,32","0,29",22%,"0,54","2,39","1,14","1,48",52,175
Avocados,fruit,true berry,"1,3","0,769",,,,,,,,2,1
Yoghurt,dairy fridge,yogurt,"1,31","0,763","1,43","0,25",18%,"1,17",2,"1,28","1,48",7,11
Eggplants (aubergines),fruit,true berry,"1,35","0,741","1,35","0,07",5%,"1,3","1,4","1,33","1,38",1,2
Sunflower seed,staples,seeds,"1,41","0,709",,,,,,,,1,1
Melons: passive greenhouse,greenhouse,pepo,"1,43","0,699","1,37","0,11",8%,"1,24","1,43","1,33","1,43",1,3
